,count
France,155
Allemagne,77
Ukraine,42
Royaume-Uni,29
Russie,28
Chine,18
Arménie,17
Italie,16
Japon,16
Israël,16
Inde,13
Espagne,13
Niger,12
États-Unis,11
Sénégal,11
Pays-Bas,11
Turquie,10
Australie,10
Irlande,9
Azerbaïdjan,9
Luxembourg,9
Canada,9
Mali,9
Andorre,9
Jordanie,9
Pologne,8
Liban,8
Autriche,8
Qatar,8
Kenya,8
Tchad,8
Rwanda,8
Bulgarie,7
Finlande,7
Moldavie,7
Ghana,7
Belgique,7
Libye,7
Estonie,7
Serbie,7
Afrique du Sud,6
Suède,6
Lituanie,6
Dominique,6
Roumanie,6
Burkina Faso,6
République tchèque,5
Soudan,5
Portugal,5
Iran,5
Suisse,5
Slovénie,5
Mauritanie,5
Vatican,5
Guinée,5
Angola,5
Chypre,5
Bénin,5
Nouvelle-Zélande,4
Singapour,4
Hongrie,4
Danemark,4
Madagascar,4
Colombie,4
Argentine,4
Lettonie,4
Tadjikistan,4
Guinée-Bissau,4
Syrie,3
Monaco,3
Arabie Saoudite,3
Thaïlande,3
Algérie,3
Comores,3
Ouzbékistan,3
Albanie,3
Norvège,3
République démocratique du Congo,3
Indonésie,3
Côte d'Ivoire,3
Djibouti,3
Kazakhstan,3
Grèce,3
Géorgie,3
Gabon,3
Égypte,3
Afghanistan,3
Maroc,3
Croatie,3
Brésil,2
République centrafricaine,2
Bahreïn,2
Bangladesh,2
Libéria,2
Pakistan,2
Macédoine,2
Malte,2
Haïti,1
Tunisie,1
Mexique,1
Nigeria,1
Tanzanie,1
Koweït,1
Islande,1
Guatemala,1
République du Congo,1
Pérou,1
Slovaquie,1
Maurice,1
Mozambique,1
Cambodge,1
Cameroun,1
Chili,1
Philippines,1
Barbade,1
