name,count
LE DRIAN,66
COLLOMB,46
CASTANER,33
MERKEL,33
ZELENSKY,32
BORNE,25
PARLY,25
DARMANIN,22
LARCHER,21
CASTEX,20
LE MAIRE,18
BELLOUBET,15
SCHOLZ,22
BUZYN,15
HULOT,14
COVID,13
POUTINE,23
VON DER LEYEN,23
BLANQUER,13
MICHEL,12
LECOINTRE,12
OUATTARA,11
BIDEN,12
MIGAUD,10
RUTTE,11
MODI,10
RUGY,10
OTAN,10
PACHINIAN,10
JOHNSON,15
GOURAULT,9
RIESTER,8
MOSCOVICI,8
VIDAL,8
XI J,12
GIRARDIN,8
BURKHARD,8
TUSK,7
NETANYAHOU,7
DRAGHI,7
TOUBON,7
ALIEV,7
SALL,7
ABBAS,6
STOLTENBERG,6
AL NAHYAN,6
BAROIN,6
ERDOGAN,6
SANDU,6
LECORNU,6
PENICAUD,6
MATTARELLA,6
BARZANI,5
TRUDEAU,5
TEBBOUNE,5
INFANTINO,5
CFCM,5
PHILIPPE,5
COSTA,5
FATTAH AL,5
BETTEL,4
KURZ,4
TRUMP,4
GRANDI,4
ESTANGUET,4
LANNES,4
LAMBERT,4
OCDE,4
CNCTR,4
GATES,4
MITSOTAKIS,4
SCHIAPPA,4
ALBANESE,4
TRAVERT,4
LAPID,4
FERNANDEZ,4
SANCHEZ,4
ACT,4
DRIAN,4
AKUFO,4
MAY,4
SOUDANI,4
BAZOUM,4
STORA,4
BERNASCONI,4
RAMAPHOSA,4
FERRAND,4
GUTERRES,4
BIG,4
POUTINE P,3
VANDAELE,3
HOLLANDE,3
LEMAIRE,3
LE PEN,3
RAHMON,3
SAOUD,3
GROSSI,3
LEYEN,3
FRITCH,3
AL THANI,3
COP,3
STEINMEIER,3
VERAN,3
SAUV,3
BACH,3
LAGARDE,3
CHIRAC,3
ANASTASIADES,3
ARENS,3
LEE H,3
VUCIC,3
RAJOELINA,3
FABIUS,3
NADELLA,3
KAGAME,3
DUSSOPT,3
XVII,3
ABE,3
UNESCO,3
AMF,3
ARDERN,3
KABOR,3
NIINIST,3
BERGER,3
TALON,3
RIVLIN,3
MED,3
SCHRAEN,3
WIDODO,3
KISHIDA,3
ZOURABICHVILI,3
SISSI,3
MUSELIER,3
LASSERRE,3
SSI,3
HAZAN,3
GENTILONI,3
MACRON,3
BIANCO,3
AZOULAY,3
MELONI,3
HIDALGO,3
TRUSS,3
ASSELIN,3
POROCHENKO,3
CNR,3
VEIL,3
GRISET,3
BAYROU,3
POUYANNE,3
COLONNA,3
FVEN,3
RUTO,3
MARTINEZ,3
VILLEROY,3
PECRESSE,3
BRONNER,2
SIRHA,2
VILLEROY DE GALHAU,2
FIFA,2
SARKOZY,2
GHAZOUANI,2
WEAH,2
CNES,2
CCAF,2
DUDA,2
MITTAL,2
JINPING,2
MEZARD,2
ARAUD,2
BEASLEY,2
CLUZEL,2
SOLBERG,2
MORENO,2
OLLIER,2
ESPOT ZAMORA,2
MERGUI,2
LASCHET,2
BLOOMBERG,2
BIN SALMAN BIN,2
KENYATTA,2
MOON J,2
POMPIDOU,2
BUSSEREAU,2
COOK,2
AL KHALIFA,2
MORIN,2
EMI,2
PLENKOVIC,2
BLINKEN,2
ASEM,2
FIAC,2
FAURY,2
ISSOUFOU,2
BURHAN,2
BUHARI,2
EMBALO,2
LOUREN,2
MIRZIYO,2
KHOSROWSHAHI,2
ZUCKERBERG,2
RAMA,2
VISENTINI,2
BARNIER,2
MACRI,2
TOKA,2
UICN,2
AZALI A,2
RAN,2
SAIED,2
AOUN,2
LOUIS,2
MELENCHON,2
MAURER,2
CORMAND,2
JAGLAND,2
ONG,2
SANTOS,2
LOURENCO,2
GATTAZ,2
RAFFARIN,2
TOUADERA,2
GFAIH,2
MAILLY,2
GOLLNISCH,2
DEBY,2
FREDERIKSEN,2
JACOB,2
THOMAS,2
CARRERE D,2
VARIN,2
VARADKAR,2
ETIENNE,2
GIROD,2
CNIL,2
GEORGIEVA,2
MORAWIECKI,2
FAKI,2
HOMMERIL,2
DECERLE,2
LOISEAU,2
TSHISEKEDI TSHILOMBO,2
NARASIMHAN,2
PICHAI,2
CADOT,2
IOHANNIS,2
MOULINS,2
RATAS,2
PISANI,2
KALLAS,2
CLAVAIROLY,2
HASINA,2
WEINBERG,2
SCHRAMECK,2
DELOIRE,2
POMPILI,2
RADEV,2
PINATEL,2
MOUZAT,2
BRAUN,2
GAULLE,2
NYSSEN,2
OMS,2
CROO,1
GUELLEH,1
ESCOFFIER,1
ROTH,1
CAF,1
MARTIN,1
DAW,1
EU MED,1
HUN S,1
FNSEA,1
IMAGINE,1
OKONJO,1
MATOVIC,1
BEN SALMAN,1
TOKAIEV,1
BAYOU,1
KRISTERSSON,1
NOTAT,1
GRAET,1
ZACHAROPOULOU,1
SENARD,1
FORIF,1
SAR F,1
SAMU,1
EHPAD P,1
RICCARDI,1
MLAMBO,1
BIBI,1
DANIEL,1
CHARASSE,1
SERRA,1
RANQUE,1
MEO,1
LOGEROT,1
BLAIR,1
CHSF,1
ERIGNAC,1
CORDIER,1
EMIE,1
POMPEO,1
GENEVOIX,1
ALLIONE,1
PATY,1
KAZIMI,1
PMI,1
EPHAD,1
PAHOR,1
DUPOND,1
SILVER,1
STEFANTCHOUK,1
REZNIKOV,1
HOTI,1
ROHANI,1
BOUGRAIN,1
KERRY,1
REBELO DE SOUSA,1
BASF,1
APP,1
DELORS,1
KARINS,1
NAUSEDA,1
NDIAYE,1
LULA DA SILVA,1
TRAPPIER,1
GENVIA,1
HUDSON,1
HARRIS,1
PHAM MINH CHINH,1
DUQUE,1
GOLOB,1
APAGAN,1
FRASER,1
BARBIERI,1
DAGUET,1
SISSOCO EMBALO,1
JAI,1
SULUHU,1
MANFI,1
LOUKACHENKO,1
ROUSSEL,1
GUERINI,1
FAURE,1
DE CROO,1
FIALA,1
QUATENNENS,1
METSOLA,1
KOVACEVSKI P,1
SOULARD,1
PETKOV,1
BENNETT,1
ANDERSSON,1
ST M,1
COGIC,1
KADHIMI,1
GHEBREYESUS,1
ASSOUMANI,1
NELSON,1
NAUS,1
MILIBAND,1
DELGA,1
OBASANJO,1
MBEMBE,1
