pays,month_year,count
Allemagne,2017-10-01,1
Allemagne,2018-10-01,1
Allemagne,2019-10-01,1
Allemagne,2020-10-01,2
Allemagne,2021-10-01,2
Allemagne,2022-10-01,3
Allemagne,2017-11-01,3
Allemagne,2018-11-01,2
Allemagne,2020-11-01,1
Allemagne,2021-11-01,1
Allemagne,2019-01-01,1
Allemagne,2020-01-01,2
Allemagne,2023-01-01,3
Allemagne,2017-12-01,1
Allemagne,2019-12-01,3
Allemagne,2021-12-01,2
Allemagne,2019-02-01,1
Allemagne,2020-02-01,2
Allemagne,2022-02-01,5
Allemagne,2023-02-01,3
Allemagne,2019-03-01,2
Allemagne,2020-03-01,2
Allemagne,2022-03-01,4
Allemagne,2020-04-01,1
Allemagne,2021-04-01,3
Allemagne,2020-05-01,1
Allemagne,2021-05-01,2
Allemagne,2022-05-01,1
Allemagne,2017-06-01,1
Allemagne,2020-06-01,3
Allemagne,2021-06-01,1
Allemagne,2022-06-01,4
Allemagne,2017-07-01,2
Allemagne,2020-07-01,1
Allemagne,2022-07-01,1
Allemagne,2017-08-01,2
Allemagne,2020-08-01,1
Allemagne,2021-08-01,1
Allemagne,2018-09-01,1
Allemagne,2020-09-01,1
Allemagne,2021-09-01,1
Allemagne,2022-09-01,1
Arménie,2018-10-01,3
Arménie,2018-01-01,2
Arménie,2019-02-01,1
Arménie,2022-02-01,1
Arménie,2023-02-01,1
Arménie,2022-03-01,2
Arménie,2021-05-01,1
Arménie,2021-06-01,1
Arménie,2022-08-01,1
Arménie,2018-09-01,1
Arménie,2022-09-01,3
Chine,2021-10-01,1
Chine,2019-11-01,3
Chine,2022-11-01,1
Chine,2018-01-01,3
Chine,2020-12-01,1
Chine,2019-03-01,6
Chine,2022-03-01,1
Chine,2021-04-01,1
Chine,2023-04-01,4
Chine,2022-05-01,1
Israël,2021-11-01,1
Israël,2019-01-01,2
Israël,2020-01-01,2
Israël,2023-01-01,1
Israël,2017-12-01,1
Israël,2023-02-01,1
Israël,2021-03-01,1
Israël,2021-05-01,1
Israël,2022-05-01,1
Israël,2018-06-01,2
Israël,2017-07-01,1
Israël,2022-07-01,1
Israël,2022-08-01,1
Italie,2021-10-01,3
Italie,2017-11-01,1
Italie,2018-01-01,1
Italie,2021-12-01,1
Italie,2020-02-01,1
Italie,2023-02-01,1
Italie,2022-03-01,3
Italie,2017-05-01,2
Italie,2022-06-01,1
Italie,2017-07-01,1
Italie,2021-08-01,1
Japon,2018-10-01,1
Japon,2021-11-01,1
Japon,2023-01-01,2
Japon,2022-03-01,1
Japon,2019-04-01,1
Japon,2019-06-01,4
Japon,2022-06-01,1
Japon,2018-07-01,1
Japon,2021-07-01,2
Japon,2022-07-01,1
Japon,2018-09-01,1
Royaume-Uni,2022-10-01,2
Royaume-Uni,2021-11-01,1
Royaume-Uni,2020-01-01,2
Royaume-Uni,2019-12-01,1
Royaume-Uni,2021-12-01,1
Royaume-Uni,2022-02-01,1
Royaume-Uni,2023-02-01,1
Royaume-Uni,2020-03-01,1
Royaume-Uni,2022-03-01,2
Royaume-Uni,2019-04-01,1
Royaume-Uni,2022-05-01,1
Royaume-Uni,2017-06-01,1
Royaume-Uni,2019-06-01,2
Royaume-Uni,2020-06-01,2
Royaume-Uni,2021-06-01,4
Royaume-Uni,2019-08-01,1
Royaume-Uni,2021-08-01,1
Royaume-Uni,2022-08-01,1
Royaume-Uni,2021-09-01,1
Royaume-Uni,2022-09-01,2
Russie,2018-10-01,1
Russie,2021-10-01,1
Russie,2021-11-01,1
Russie,2019-12-01,2
Russie,2022-02-01,6
Russie,2022-03-01,4
Russie,2020-04-01,1
Russie,2021-04-01,1
Russie,2017-05-01,1
Russie,2018-05-01,2
Russie,2022-05-01,2
Russie,2017-07-01,1
Russie,2018-07-01,1
Russie,2019-08-01,1
Russie,2021-08-01,1
Russie,2022-08-01,1
Russie,2022-09-01,1
Ukraine,2021-10-01,1
Ukraine,2022-10-01,1
Ukraine,2022-11-01,3
Ukraine,2023-01-01,3
Ukraine,2019-12-01,2
Ukraine,2022-02-01,12
Ukraine,2023-02-01,1
Ukraine,2022-03-01,3
Ukraine,2019-04-01,1
Ukraine,2020-04-01,1
Ukraine,2021-04-01,2
Ukraine,2022-04-01,1
Ukraine,2023-04-01,1
Ukraine,2022-05-01,2
Ukraine,2017-06-01,1
Ukraine,2019-06-01,1
Ukraine,2022-06-01,2
Ukraine,2017-07-01,1
Ukraine,2022-08-01,2
Ukraine,2022-09-01,2
