date,voyage
2019-02-04,1
2019-02-07,1
2019-02-14,1
2019-03-01,1
2019-03-07,1
2019-03-12,1
2019-03-24,1
2019-03-28,1
2019-03-31,1
2019-04-03,1
2019-04-04,1
2019-04-15,1
2019-05-02,1
2019-05-09,1
2019-05-16,1
2019-05-17,1
2019-06-10,1
2019-06-11,1
2019-06-17,1
2019-07-08,1
2019-07-12,1
2019-07-15,1
2019-07-16,1
2019-07-19,1
2019-07-20,1
2019-09-10,1
2019-09-12,1
2019-09-13,1
2019-09-18,1
2019-09-20,1
2019-09-22,1
2019-09-30,1
2019-10-01,1
2019-10-22,1
2019-10-23,1
2019-10-24,1
2019-10-25,1
2019-10-30,1
2019-11-04,1
2019-11-05,1
2019-11-06,1
2019-11-14,1
2019-11-21,1
2019-11-22,1
2019-12-20,1
2019-12-21,1
2019-12-22,1
2020-01-19,1
2020-01-20,1
2020-01-22,1
2020-01-23,1
2020-01-30,1
2020-02-03,1
2020-02-04,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-18,1
2020-04-08,1
2020-04-22,1
2020-05-05,1
2020-05-26,1
2020-06-16,1
2020-06-18,1
2020-06-29,1
2020-06-30,1
2020-07-22,1
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-16,1
2020-09-18,1
2020-09-22,1
2020-09-23,1
2020-09-28,1
2020-09-29,1
2020-09-30,1
2020-10-02,1
2020-10-06,1
2020-10-07,1
2020-10-20,1
2020-10-23,1
2020-11-03,1
2020-11-05,1
2020-11-09,1
2020-12-04,1
2020-12-08,1
2020-03-10,2
2020-03-17,2
2020-04-16,2
2020-04-23,2
2020-04-24,2
2020-04-29,2
2020-04-30,2
2020-05-06,2
2020-05-13,2
2020-05-14,2
2020-05-18,2
2020-05-19,2
2020-06-16,2
2020-06-19,2
2020-07-10,2
2020-07-21,2
2020-10-13,2
2020-10-29,2
2020-10-30,2
2020-11-06,2
2020-11-10,2
2020-11-17,2
2020-11-19,2
2020-11-20,2
2020-12-01,2
2020-12-02,2
2020-12-12,2
2020-12-17,2
2020-12-20,2
2020-12-21,2
