date,month,time,desc,type,year
14,mai,10h00,Passation de pouvoir et cérémonie d'investiture,,2017
14,mai,12h00,Cérémonie à l'hôtel de Ville de Paris,,2017
17,mai,20h00,"Dîner avec M. Donald Tusk, Président du Conseil européen",,2017
18,mai,11h00,Conseil des ministres,,2017
18,mai,14h30,Conseil de défense,,2017
21,mai,20h00,"Réception de M. Paolo GENTILONI, Président du Conseil des ministres de la République italienne",,2017
23,mai,09h00,"Entretien avec M. Laurent BERGER, Secrétaire général de la CFDT",,2017
23,mai,10h00,"Entretien avec M. Philippe MARTINEZ, Secrétaire général de la CGT",,2017
23,mai,11h00,"Entretien avec M. Jean-Claude MAILLY, Secrétaire général de FO",,2017
23,mai,12h00,"Entretien avec M. Pierre GATTAZ, Président du MEDEF",,2017
23,mai,14h30,Déplacement à l'ambassade de Grande-Bretagne,,2017
23,mai,15h00,"Entretien avec M. François ASSELIN, Président de la CPME",,2017
23,mai,16h00,"Entretien avec M. Alain GRISET, Président de l’U2P",,2017
23,mai,17h00,"Entretien avec M. François HOMMERIL, Président de la CFE-CGC",,2017
23,mai,18h00,"Entretien avec M. Philippe LOUIS, Président de la CFTC",,2017
24,mai,08h30,"Entretien avec M. Edouard PHILIPPE, Premier Ministre",,2017
24,mai,09h00,Conseil restreint de défense,,2017
24,mai,10h00,Conseil des Ministres,,2017
25,mai,Toute la journée,"Sommet de l’Organisation du traité de l’Atlantique nord (OTAN). Bruxelles, Belgique",,2017
26,mai,Toute la journée,"Sommet du G7. Taormina, Italie",,2017
27,mai,Toute la journée,"Sommet du G7. Taormina, Italie",,2017
29,mai,11h30,"Entretien avec M. Patrick CALVAR, directeur général de la DGSI",,2017
29,mai,12h00,Entretien avec le Premier ministre,,2017
29,mai,13h45,"Visite de travail de M. Vladimir POUTINE, Président de la Fédération de Russie",,2017
30,mai,09h00,"Entretien avec M. Jean-Yves Le Drian, ministre de l’Europe et des Affaires étrangères",,2017
30,mai,10h00,"Entretien avec Mme Audrey AZOULAY, ancienne Ministre",,2017
30,mai,11h00,"Réunion de travail avec le Premier ministre et Mme Murielle PENICAUD, ministre du Travail",,2017
30,mai,12h00,"Réunion de travail avec MM. Bruno Le MAIRE, ministre de l’Economie et Gérald DARMANIN, ministre de l’Action et des Comptes publics",,2017
30,mai,15h00,"Entretien avec M. Pierre-René LEMAS, directeur général du groupe Caisse des dépôts",,2017
30,mai,17h00,"Entretien avec M. Philippe RICHERT, président des Régions de France et président de la région Grand Est",,2017
31,mai,08h30,Entretien avec le Premier ministre,,2017
31,mai,09h00,Conseil restreint de défense,,2017
31,mai,10h00,Conseil des Ministres,,2017
31,mai,15h00,Déplacement en Loire-Atlantique et dans le Morbihan,,2017
01,juin,09h00,Déplacement en Loire-Atlantique et dans le Morbihan,,2017
02,juin,10h00,"Entretien avec M. Nicolas HULOT, ministre de la Transition écologique et solidaire",,2017
02,juin,11h00,"Entretien avec Mme Agnès BUZYN, ministre des Solidarités et de la Santé",,2017
02,juin,12h00,"Entretien avec M. Jean-Michel BLANQUER, ministre de l’Education nationale",,2017
02,juin,15h55,Déplacement au CNES,,2017
02,juin,19h30,"Entretien avec Michael BLOOMBERG, Envoyé Spécial des Nations-Unies pour les Villes et le Changement Climatique et Anne HIDALGO, Marie de Paris",,2017
03,juin,12h30,"Entretien, suivi d’un déjeuner de travail, avec M. Narendra MODI, Premier ministre de la République de l’Inde",,2017
04,juin,20h45,Finale du top 14 (Stade de France),,2017
05,juin,10h00,"Entretien avec M. Gérard COLLOMB, ministre de l’Intérieur",,2017
05,juin,13h00,Déjeuner de travail avec le Premier ministre,,2017
06,juin,09h00,"Entretien avec M. Jean-Yves Le DRIAN, ministre de l’Europe et des Affaires étrangères",,2017
06,juin,10h00,"Entretien avec M. Richard FERRAND, ministre de la Cohésion des territoires",,2017
06,juin,11h00,"Entretien avec M. Boïko BORISSOV, Premier ministre de la République de Bulgarie",,2017
06,juin,14h30,Table ronde sur la mobilisation des acteurs de la société civile pour le climat,,2017
06,juin,16h00,"Entretien avec M. François BAYROU, Garde des Sceaux, ministre de la Justice",,2017
06,juin,18h00,"Entretien avec Mme Sylvie GOULARD, ministre des Armées",,2017
06,juin,19h00,"Entretien avec M. Pierre MOSCOVICI, commissaire européen chargé des Affaires économiques et financières, de la Fiscalité et de l’Union douanière",,2017
07,juin,08h30,Entretien avec le Premier ministre,,2017
07,juin,09h00,Conseil restreint de défense,,2017
07,juin,10h00,Conseil des Ministres,,2017
07,juin,12h00,"Entretien avec M. Lars Løkke RASMUSSEN, Premier ministre du Royaume du Danemark",,2017
08,juin,09h00,"Entretien avec Mme Frédérique VIDAL, ministre de l’Enseignement supérieur, de la Recherche et de l’Innovation",,2017
08,juin,12h00,"Entretien avec M. Mounir MAHJOUBI, secrétaire d’Etat chargé du numérique",,2017
08,juin,15h00,"Entretien avec M. Pedro Pablo KUCZYNSKI, Président de la République du Pérou",,2017
08,juin,17h00,"Entretien avec Jimmy MORALES, Président de la République du Guatemala",,2017
09,juin,10h00,"Entretien avec Mme Laura FLESSEL, ministre des Sports",,2017
10,juin,Toute la journée,Déplacement à Oradour-sur-Glane – Haute-Vienne,,2017
11,juin,09h00,Vote du Président de la République au Touquet – Pas-de-Calais,,2017
11,juin,16h00,"Entretien avec M. Alassane OUATTARA, Président de la République de Côte d’Ivoire",,2017
12,juin,09h00,"Entretien avec M. Macky SALL, Président de la République du Sénégal.",,2017
12,juin,10h00,"Entretien avec M. Jean-Yves LE DRIAN, ministre de l’Europe et des Affaires étrangères.",,2017
12,juin,11h00,"Entretien avec M. Gérard COLLOMB, ministre de l’Intérieur.",,2017
12,juin,13h00,Déjeuner de travail avec le Premier ministre.,,2017
13,juin,10h00,"Entretien avec Mme Elisabeth BORNE, ministre chargée des Transports.",,2017
