date,month,time,desc,type,year,event
2018-01-02,01,12h00,"Entretien avec M. Nicolas HULOT, ministre de la Transition écologique et solidaire.",,2018,True
2018-01-02,01,13h00,Déjeuner avec le Premier ministre.,,2018,True
2018-01-02,01,15h00,"Entretien avec M. Gérard COLLOMB, ministre de l’Intérieur et Mme Jacqueline GOURAULT, ministre auprès du ministre de l’Intérieur.",,2018,True
2018-01-02,01,17h00,"Entretien avec Mme Nicole BELLOUBET, Garde des Sceaux, ministre de la Justice.",,2018,True
2018-01-03,01,10h00,Présentation des vœux du Gouvernement.,,2018,True
2018-01-03,01,10h30,"Conseil des ministres, suivi d’un séminaire du Gouvernement.",,2018,True
2018-01-03,01,13h00,Déjeuner avec les membres du Gouvernement.,,2018,True
2018-01-03,01,15h30,Présentation des vœux au Conseil constitutionnel.,,2018,True
2018-01-03,01,17h30,Présentation des vœux à la presse.,,2018,True
2018-01-04,01,09h00,Conseil restreint de défense.,,2018,True
2018-01-04,01,10h30,Présentation des vœux aux Autorités religieuses.,,2018,True
2018-01-04,01,11h30,"Entretien avec Mme Florence PARLY, ministre des Armées.",,2018,True
2018-01-04,01,15h30,Présentations des vœux au Corps diplomatique.,,2018,True
2018-01-05,01,09h30,"Entretien avec M. Pierre MOSCOVICI, commissaire européen, chargé des affaires économiques et monétaires, de la fiscalité et des douanes.",,2018,True
2018-01-05,01,10h15,"Entretien avec M. Bruno LE MAIRE, ministre de l’Economie et des Finances.",,2018,True
2018-01-05,01,13h00,"Entretien suivi d'un déjeuner en l’honneur de M. Recep Tayyip ERDOGAN, Président de la République de Turquie.",,2018,True
2018-01-05,01,15h30,"Entretien avec M. Gérald DARMANIN, ministre de l’Action et des Comptes publics.",,2018,True
2018-01-05,01,17h30,"Entretien avec M. Patrick BERNASCONI, Président du CESE (Conseil économique, social et environnemental).",,2018,True
2018-01-07,01,09h00,Commémoration des attentats contre Charlie Hebdo et l’Hyper Cacher.,,2018,True
2018-01-08,01,Toute la journée,Déplacement en République populaire de Chine.,,2018,True
2018-01-09,01,Toute la journée,Déplacement en République populaire de Chine.,,2018,True
